l3,l2
Abasto,Capital Federal
Acambuco,Salta
Acebal,Santa Fe
Aeroparque,Mendoza
Agronomía,Capital Federal
Agua de Oro,Córdoba
Aguas Verdes,Buenos Aires Costa Atlántica
Allen,Río Negro
Almagro,Capital Federal
Almirante Brown,Bs.As. G.B.A. Zona Sur
Alta Gracia,Córdoba
Aluminé,Neuquén
Alvear,Santa Fe
Arrecifes,Buenos Aires Interior
Arroyo Seco,Santa Fe
Atlántida,Buenos Aires Costa Atlántica
Avellaneda,Bs.As. G.B.A. Zona Sur
Ayacucho,Buenos Aires Interior
Azul,Buenos Aires Interior
Añelo,Neuquén
Bahía Blanca,Buenos Aires Interior
Balcarce,Buenos Aires Interior
Balneario Sauce Grande,Buenos Aires Costa Atlántica
Balvanera,Capital Federal
Baradero,Buenos Aires Interior
Barracas,Capital Federal
Barrio Norte,Capital Federal
Belgrano,Capital Federal
Berazategui,Bs.As. G.B.A. Zona Sur
Berisso,Buenos Aires Interior
Bernardo de Irigoyen,Misiones
Bialet Massé,Córdoba
Boca,Capital Federal
Boedo,Capital Federal
Bolívar,Buenos Aires Interior
Bragado,Buenos Aires Interior
Brandsen,Buenos Aires Interior
Buena Nueva,Mendoza
Caballito,Capital Federal
Calingasta,San Juan
Camet,Buenos Aires Costa Atlántica
Campana,Buenos Aires Interior
Campo Andino,Santa Fe
Candelaria,Misiones
Capilla del Monte,Córdoba
Capilla del Rosario,Mendoza
Capitán Bermúdez,Santa Fe
Capitán Sarmiento,Buenos Aires Interior
Cariló,Buenos Aires Costa Atlántica
Carmen de Areco,Buenos Aires Interior
Carpintería,San Luis
Carrizales,Santa Fe
Carrodilla,Mendoza
Casilda,Santa Fe
Castellanos,Santa Fe
Castelli,Buenos Aires Interior
Catalinas,Capital Federal
Catriel,Río Negro
Caucete,San Juan
Cayastá,Santa Fe
Cañada de Gómez,Santa Fe
Cañuelas,Bs.As. G.B.A. Zona Sur
Centenario,Neuquén
Centro / Microcentro,Capital Federal
Cerrillos,Salta
Cevil Redondo,Tucumán
Chabás,Santa Fe
Chacabuco,Buenos Aires Interior
Chacarita,Capital Federal
Chacras de Coria,Mendoza
Chapadmalal,Buenos Aires Costa Atlántica
Chascomús,Buenos Aires Interior
Chivilcoy,Buenos Aires Interior
Cinco Saltos,Río Negro
Cipolletti,Río Negro
Coghlan,Capital Federal
Colalao del Valle,Tucumán
Colastiné,Santa Fe
Colegiales,Capital Federal
Colonia Avellaneda,Entre Ríos
Colonia San Bartolomé,Córdoba
Colonia Tirolesa,Córdoba
Colón,Entre Ríos
Comodoro Rivadavia,Chubut
Concepción del Uruguay,Entre Ríos
Concordia,Entre Ríos
Confluencia,Neuquén
Congreso,Capital Federal
Constitución,Capital Federal
Coronel Pringles,Buenos Aires Interior
Coronel Suárez,Buenos Aires Interior
Corrientes,Corrientes
Cortaderas,San Luis
Cosquín,Córdoba
Costa Azul,Buenos Aires Costa Atlántica
Costa Chica,Buenos Aires Costa Atlántica
Costa Esmeralda,Buenos Aires Costa Atlántica
Costa del Este,Buenos Aires Costa Atlántica
Cushamen,Chubut
Córdoba,Córdoba
Desamparados,San Juan
Desvío Arijón,Santa Fe
Diamante,Entre Ríos
Dolores,Buenos Aires Interior
Dorrego,Mendoza
El Bolsón,Río Negro
El Calafate,Santa Cruz
El Challao,Mendoza
El Cuy,Río Negro
El Sauce,Mendoza
El Volcán,San Luis
Embalse,Córdoba
Ensenada,Buenos Aires Interior
Epuyén,Chubut
Escalante,Chubut
Escobar,Bs.As. G.B.A. Zona Norte
Esperanza,Santa Fe
Estancia Vieja,Córdoba
Esteban Echeverría,Bs.As. G.B.A. Zona Sur
Exaltación de la Cruz,Buenos Aires Interior
Ezeiza,Bs.As. G.B.A. Zona Sur
Faustino M Parera,Entre Ríos
Federación,Entre Ríos
Fighiera,Santa Fe
Firmat,Santa Fe
Florencio Varela,Bs.As. G.B.A. Zona Sur
Florentino Ameghino,Buenos Aires Interior
Flores,Capital Federal
Floresta,Capital Federal
Fontana,Chaco
Formosa,Formosa
Fray Luis Beltrán,Santa Fe
Funes,Santa Fe
Garupá,Misiones
General Alvarado,Buenos Aires Interior
General Belgrano,Buenos Aires Interior
General Fernández Oro,Río Negro
General Las Heras,Buenos Aires Interior
General Lavalle,Buenos Aires Interior
General Madariaga,Buenos Aires Interior
General Paz,Buenos Aires Interior
General Pico,La Pampa
General Pueyrredón,Buenos Aires Interior
General Roca,Río Negro
General Rodríguez,Bs.As. G.B.A. Zona Oeste
General San Martín,Bs.As. G.B.A. Zona Norte
Gobernador Benegas,Mendoza
Godoy Cruz,Mendoza
Granadero Baigorria,Santa Fe
Gualeguaychú,Entre Ríos
Guaraní,Misiones
Hernando,Córdoba
Huerta Grande,Córdoba
Hurlingham,Bs.As. G.B.A. Zona Oeste
Ibarlucea,Santa Fe
Iriondo,Santa Fe
Ituzaingó,Bs.As. G.B.A. Zona Oeste
Jesús Nazareno,Mendoza
José C Paz,Bs.As. G.B.A. Zona Norte
Juana Koslay,San Luis
Junin de los Andes,Neuquén
Junín,Buenos Aires Interior
La Caldera,Salta
La Calera,Córdoba
La Cruz,Córdoba
La Cumbre,Córdoba
La Falda,Córdoba
La Granja,Córdoba
La Lucila del Mar,Buenos Aires Costa Atlántica
La Matanza,Bs.As. G.B.A. Zona Oeste
La Paz,Entre Ríos
La Plata,Bs.As. G.B.A. Zona Sur
La Punta,San Luis
La Puntilla,Mendoza
La Serranita,Córdoba
Lanús,Bs.As. G.B.A. Zona Sur
Las Calles,Córdoba
Las Cañitas,Capital Federal
Las Compuertas,Mendoza
Las Gaviotas,Buenos Aires Costa Atlántica
Las Grutas,Río Negro
Las Heras,Mendoza
Las Palmas,Córdoba
Las Parejas,Santa Fe
Las Rabonas,Córdoba
Las Toninas,Buenos Aires Costa Atlántica
Las Varillas,Córdoba
Liniers,Capital Federal
Lobos,Buenos Aires Interior
Lomas de Zamora,Bs.As. G.B.A. Zona Sur
Los Cocos,Córdoba
Los Molles,San Luis
Los Reartes,Córdoba
Luján,Buenos Aires Interior
Luján de Cuyo,Mendoza
Lules,Tucumán
Lácar,Neuquén
Magdalena,Buenos Aires Interior
Maipú,Mendoza
Malagueño,Córdoba
Malargüe,Mendoza
Malvinas Argentinas,Bs.As. G.B.A. Zona Norte
Mar Azul,Buenos Aires Costa Atlántica
Mar Chiquita,Buenos Aires Costa Atlántica
Mar de Ajó,Buenos Aires Costa Atlántica
Mar de Cobo,Buenos Aires Costa Atlántica
Mar de las Pampas,Buenos Aires Costa Atlántica
Mar del Plata,Buenos Aires Costa Atlántica
Mar del Sur,Buenos Aires Costa Atlántica
Mar del Tuyú,Buenos Aires Costa Atlántica
Marcos Paz,Bs.As. G.B.A. Zona Oeste
Mari Menuco,Neuquén
Mariano Moreno,Neuquén
María Grande,Entre Ríos
Mataderos,Capital Federal
Mayor Drummond,Mendoza
Mendiolaza,Córdoba
Mendoza,Mendoza
Mercedes,Buenos Aires Interior
Merlo,Bs.As. G.B.A. Zona Oeste
Mina Clavero,Córdoba
Miramar,Buenos Aires Costa Atlántica
Monserrat,Capital Federal
Monte Castro,Capital Federal
Monte Hermoso,Buenos Aires Costa Atlántica
Monte Vera,Santa Fe
Moquehue,Neuquén
Moreno,Bs.As. G.B.A. Zona Oeste
Morteros,Córdoba
Morón,Bs.As. G.B.A. Zona Oeste
Murphy,Santa Fe
Máximo Paz,Santa Fe
Necochea,Buenos Aires Costa Atlántica
Neuquén,Neuquén
Noetinger,Córdoba
Nono,Córdoba
Nueva Atlantis,Buenos Aires Costa Atlántica
Nueva Ciudad,Mendoza
Nuñez,Capital Federal
Oberá,Misiones
Olavarría,Buenos Aires Interior
Oliva,Córdoba
Oliveros,Santa Fe
Once,Capital Federal
Oro Verde,Entre Ríos
Ostende,Buenos Aires Costa Atlántica
Palermo,Capital Federal
Paraná,Entre Ríos
Parque Avellaneda,Capital Federal
Parque Centenario,Capital Federal
Parque Chacabuco,Capital Federal
Parque Chas,Capital Federal
Parque Patricios,Capital Federal
Paternal,Capital Federal
Pehuen-có,Buenos Aires Costa Atlántica
Perdriel,Mendoza
Pergamino,Buenos Aires Interior
Peyrano,Santa Fe
Pilar,Bs.As. G.B.A. Zona Norte
Pilcaniyeu,Río Negro
Pinamar,Buenos Aires Costa Atlántica
Piñero,Santa Fe
Plottier,Neuquén
Pompeya,Capital Federal
Posadas,Misiones
Potrerillos,Mendoza
Potrero de Garay,Córdoba
Potrero de los Funes,San Luis
Pozo del Molle,Córdoba
Presidente Perón,Bs.As. G.B.A. Zona Sur
Progreso,Santa Fe
Pueblo Andino,Santa Fe
Pueblo Esther,Santa Fe
Pueblo General Belgrano,Entre Ríos
Puerto General San Martín,Santa Fe
Puerto Iguazú,Misiones
Puerto Madero,Capital Federal
Puerto Madryn,Chubut
Puerto Rico,Misiones
Puerto Tirol,Chaco
Punilla,Córdoba
Punta Alta,Buenos Aires Costa Atlántica
Punta Indio,Buenos Aires Interior
Pérez,Santa Fe
Quequén,Buenos Aires Costa Atlántica
Quilmes,Bs.As. G.B.A. Zona Sur
Rafaela,Santa Fe
Ramallo,Buenos Aires Interior
Rawson,San Juan
Recoleta,Capital Federal
Reconquista,Santa Fe
Recreo,Santa Fe
Reducción,Córdoba
Resistencia,Chaco
Retiro,Capital Federal
Ricardone,Santa Fe
Rincón de los Sauces,Neuquén
Rivadavia,San Juan
Rodeo de la Cruz,Mendoza
Rodríguez Peña,Mendoza
Roldán,Santa Fe
Roque Pérez,Buenos Aires Interior
Rosario,Santa Fe
Rosario de Lerma,Salta
Rosario de Río Grande,Jujuy
Río Ceballos,Córdoba
Río Cuarto,Córdoba
Río Grande,Tierra Del Fuego
Río Primero,Córdoba
Río Segundo,Córdoba
Río Tercero,Córdoba
Saavedra,Capital Federal
Saladillo,Buenos Aires Interior
Saldán,Córdoba
Salsipuedes,Córdoba
Salta,Salta
Salto Grande,Santa Fe
San Andrés de Giles,Buenos Aires Interior
San Antonio Oeste,Río Negro
San Antonio de Areco,Buenos Aires Interior
San Antonio de Arredondo,Córdoba
San Bernardo,Buenos Aires Costa Atlántica
San Carlos,Mendoza
San Carlos de Bariloche,Río Negro
San Clemente del Tuyú,Buenos Aires Costa Atlántica
San Cristobal,Capital Federal
San Cristóbal,Santa Fe
San Fernando,Bs.As. G.B.A. Zona Norte
San Francisco,Córdoba
San Francisco del Monte,Mendoza
San Francisco del Monte de Oro,San Luis
San Isidro,Bs.As. G.B.A. Zona Norte
San Javier,Misiones
San Jorge,Santa Fe
San José,Entre Ríos
San José del Rincón,Santa Fe
San Juan,San Juan
San Lorenzo,Santa Fe
San Luis,San Luis
San Martín,Mendoza
San Martín de los Andes,Neuquén
San Miguel,Bs.As. G.B.A. Zona Norte
San Miguel de Tucumán,Tucumán
San Miguel del Monte,Buenos Aires Interior
San Nicolás,Capital Federal
San Nicolás de los Arroyos,Buenos Aires Interior
San Pedro,Buenos Aires Interior
San Rafael,Mendoza
San Roque,Mendoza
San Salvador de Jujuy,Jujuy
San Telmo,Capital Federal
San Vicente,Bs.As. G.B.A. Zona Sur
Santa Clara del Mar,Buenos Aires Costa Atlántica
Santa Fe,Santa Fe
Santa Lucía,San Juan
Santa María,Córdoba
Santa Rosa,La Pampa
Santa Rosa de Calamuchita,Córdoba
Santa Rosa de Calchines,Santa Fe
Santa Rosa de Conlara,San Luis
Santa Teresita,Buenos Aires Costa Atlántica
Santo Domingo,Santa Fe
Santo Tomé,Santa Fe
Sauce Viejo,Santa Fe
Soldini,Santa Fe
Tafí Viejo,Tucumán
Tafí del Valle,Tucumán
Tandil,Buenos Aires Interior
Tanti,Córdoba
Tigre,Bs.As. G.B.A. Zona Norte
Tilcara,Jujuy
Tilisarao,San Luis
Timbúes,Santa Fe
Toay,La Pampa
Tornquist,Buenos Aires Interior
Trelew,Chubut
Trenque Lauquen,Buenos Aires Interior
Tres Arroyos,Buenos Aires Interior
Tres de Febrero,Bs.As. G.B.A. Zona Oeste
Tribunales,Capital Federal
Trinidad,San Juan
Tunuyán,Mendoza
Tupungato,Mendoza
Unquillo,Córdoba
Ushuaia,Tierra Del Fuego
Valeria del Mar,Buenos Aires Costa Atlántica
Valle Hermoso,Córdoba
Veinticinco de Mayo,Buenos Aires Interior
Velez Sarsfield,Capital Federal
Venado Tuerto,Santa Fe
Vera,Santa Fe
Versalles,Capital Federal
Vicente López,Bs.As. G.B.A. Zona Norte
Victoria,Entre Ríos
Viedma,Río Negro
Villa Allende,Córdoba
Villa Amancay,Córdoba
Villa Amelia,Santa Fe
Villa Ascasubi,Córdoba
Villa Carlos Paz,Córdoba
Villa Cerro Catedral,Río Negro
Villa Ciudad Parque Los Reartes,Córdoba
Villa Constitución,Santa Fe
Villa Crespo,Capital Federal
Villa Devoto,Capital Federal
Villa Dolores,Córdoba
Villa General Belgrano,Córdoba
Villa General Mitre,Capital Federal
Villa Gesell,Buenos Aires Costa Atlántica
Villa Giardino,Córdoba
Villa Gobernador Gálvez,Santa Fe
Villa La Angostura,Neuquén
Villa Larca,San Luis
Villa Los Aromos,Córdoba
Villa Lugano,Capital Federal
Villa Luro,Capital Federal
Villa María,Córdoba
Villa Mercedes,San Luis
Villa Nueva,Mendoza
Villa Ortuzar,Capital Federal
Villa Paranacito,Entre Ríos
Villa Parque Siquiman,Córdoba
Villa Pueyrredón,Capital Federal
Villa Real,Capital Federal
Villa Riachuelo,Capital Federal
Villa Rumipal,Córdoba
Villa San Lorenzo,Salta
Villa Santa Cruz del Lago,Córdoba
Villa Santa Rita,Capital Federal
Villa Soldati,Capital Federal
Villa Urquiza,Capital Federal
Villa de Las Rosas,Córdoba
Villa del Dique,Córdoba
Villa del Parque,Capital Federal
Villa del Rosario,Córdoba
Villarino,Buenos Aires Interior
Vistalba,Mendoza
Yacu Hurmana,Santiago Del Estero
Yerba Buena,Tucumán
Zapala,Neuquén
Zárate,Buenos Aires Interior
Álvarez,Santa Fe
